Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions;;;;;;;;
Samsung,Galaxy S7 edge,hero2lte,3533-3580MB,Phone,Samsung Exynos 8890,1080x1920;1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;
Samsung,Galaxy S7 Edge,hero2lteskt,3533-3562MB,Phone,Samsung Exynos 8890,1080x1920;1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;
Samsung,Galaxy S7 Edge,hero2qlteatt,3394-3421MB,Phone,Qualcomm MSM8996,1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;
Samsung,Galaxy S7 Edge,hero2qlteue,3394-3421MB,Phone,Qualcomm MSM8996,1080x1920;1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;
Samsung,Galaxy S7 edge,hero2ltelgt,3533-3562MB,Phone,Samsung Exynos 8890,1080x1920;1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;
Samsung,Galaxy S7 Edge,hero2qltevzw,3394-3421MB,Phone,Qualcomm MSM8996,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;;
Samsung,Galaxy S7 Edge,hero2ltektt,3533-3562MB,Phone,Samsung Exynos 8890,1080x1920;1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;
Samsung,Galaxy S7 edge,hero2qltechn,3394-3422MB,Phone,Qualcomm MSM8996,1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;
Samsung,Galaxy S7 Edge,SCV33,3415-3420MB,Phone,Qualcomm MSM8996,1080x1920;1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24,3.1;3.ﬁub;;
Samsung,Galaxy S7 Edge,hero2qltetmo,3394-3421MB,Phone,Qualcomm MSM8996,1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;
Samsung,Galaxy S7 Edge,hero2ltebmc,3534-3562MB,Phone,Samsung Exynos 8890,1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;
Samsung,Galaxy S7 Edge,SC-02H,3415-3420MB,Phone,Qualcomm MSM8996,1080x1920;1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24,3.1;3.ﬁub;;
Samsung,Galaxy S7 Edge,hero2qltespr,3394-3421MB,Phone,Qualcomm MSM8996,1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;
Samsung,Galaxy S7 Edge,hero2qlteusc,3394-3421MB,Phone,Qualcomm MSM8996,1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;
Samsung,Galaxy Tab 7.0 Plus,SC-02D,,,Samsung Exynos 4210,600x976,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Samsung,Galaxy Tab 7.0 Plus,GT-P6201,,,Samsung Exynos 4210,1024x552;600x976,160,armeabi-v7a;armeabi,13;15,2.0;;;;;
Samsung,Galaxy Tab 7.0 Plus,SHW-M430W,,,Samsung Exynos 4210,600x976,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Samsung,Galaxy Tab 7.0 Plus,GT-P6200L,815MB,Tablet,Samsung Exynos 4210,600x976,160,armeabi-v7a;armeabi,13;15;16,2.0;;;;;
Samsung,Galaxy Tab 7.0 Plus,GT-P6200,828MB,Tablet,Samsung Exynos 4210,1024x600,160,armeabi-v7a;armeabi,13;15;16,2.0;;;;;
Samsung,Galaxy Tab 7.0 Plus,GT-P6210,816MB,Tablet,Samsung Exynos 4210,1024x600,160,armeabi-v7a;armeabi,13;15;16,2.0;;;;;
Samsung,Galaxy Tab 7.0 Plus,SGH-T869,,,Samsung Exynos 4210,1024x552;600x976,160,armeabi-v7a;armeabi,13;15,2.0;;;;;
Samsung,Galaxy Tab 7.0 Plus,GT-P6211,,,Samsung Exynos 4210,600x976,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Samsung,Galaxy Tap Pro 8.4,mondrianwifi,1862MB,Tablet,Qualcomm APQ8074,1600x2560,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Samsung,Galaxy Grand,baffinlteskt,776MB,Phone,Samsung Exynos 4412,480x800,240,armeabi-v7a;armeabi,16,2.0;;;;;;;
Samsung,Galaxy Grand,baffinss,803MB,Phone,Broadcom BCM28155,480x800,240,armeabi-v7a;armeabi,16;17,2.0;;;;;;
Samsung,Galaxy Grand,baffinvektt,772MB,Phone,Samsung Exynos 4412,480x800,240,armeabi-v7a;armeabi,16,2.0;;;;;;;
Samsung,Galaxy Grand,baffinrd,,Phone,Marvell PXA988,480x800,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Samsung,Galaxy Grand,baffin3gduosctc,,Phone,Qualcomm MSM8625,480x800,240,armeabi-v7a;armeabi,16,2.0;;;;;;;
Samsung,Galaxy Grand,baffinvetd3g,,Phone,Qualcomm MSM8230,480x800,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Samsung,Galaxy Grand,baffincmcc,,Phone,Broadcom BCM28155,480x800,240,armeabi-v7a;armeabi,16,2.0;;;;;;;
Samsung,Galaxy Grand,baffinveskt,772MB,Phone,Samsung Exynos 4412,480x800,240,armeabi-v7a;armeabi,16,2.0;;;;;;;
Samsung,Galaxy Grand,baffinltektt,776MB,Phone,Samsung Exynos 4412,480x800,240,armeabi-v7a;armeabi,16,2.0;;;;;;;
Samsung,Galaxy Note Pro 12.2,v1awifi,2775MB,Tablet,Samsung Exynos 5420,2560x1600,320,armeabi-v7a;armeabi,19;21,3.0;;;;;;
Samsung,Galaxy Note Pro 12.2,v1a3g,2775MB,Tablet,Samsung Exynos 5420,2560x1600,320,armeabi-v7a;armeabi,19;21,3.0;;;;;;
Samsung,Galaxy Note Pro 12.2,viennaltevzw,2834-2835MB,Tablet,Qualcomm MSM8974,2560x1600,320,armeabi-v7a;armeabi,19;22,3.0;;;;;;
Samsung,Galaxy Note Pro 12.2,viennalte,2796-2872MB,Tablet,Qualcomm MSM8974,2560x1600,320,armeabi-v7a;armeabi,17;19;21,2.0;3.0;;;;
Samsung,Galaxy Note Pro 12.2 ,viennalteatt,2834-2835MB,Tablet,Qualcomm MSM8974,2560x1600,320,armeabi-v7a;armeabi,19;22,3.0;;;;;;
Samsung,Galaxy Note Pro 12.2,viennaltekx,2834MB,Tablet,Qualcomm MSM8974,2560x1600,320,armeabi-v7a;armeabi,19;21,3.0;;;;;;
Samsung,Galaxy Note Pro 12.2,v1awifikx,2775MB,Tablet,Samsung Exynos 5420,2560x1600,320,armeabi-v7a;armeabi,19;21,3.0;;;;;;
Samsung,Galaxy J3 Prime,j3popeltemtr,1324MB,Phone,Samsung Exynos 7570,720x1280,320,armeabi-v7a;armeabi,24,3.1;;;;;;;
Samsung,Galaxy J3 Prime,j3popeltetmo,1324MB,Phone,Samsung Exynos 7570,720x1280,320,armeabi-v7a;armeabi,24,3.1;;;;;;;
Samsung,Galaxy S6 Edge+,zenlte,3663-3664MB,Phone,Samsung Exynos 7420,1440x2560,420;560,arm64-v8a;armeabi-v7a;armeabi,22;23;24,3.1;3.ﬁub;;
Samsung,Galaxy S6 Edge+,zenltevzw,3662-3664MB,Phone,Samsung Exynos 7420,1440x2560,560,arm64-v8a;armeabi-v7a;armeabi,22;23;24,3.1;3.ﬁub;;;
Samsung,Galaxy S6 Edge+,zenltekx,3663MB,Phone,Samsung Exynos 7420,1440x2560,560,arm64-v8a;armeabi-v7a;armeabi,22;23,3.1;;;;;
Samsung,Galaxy S6 Edge+,zenltetmo,3662-3663MB,Phone,Samsung Exynos 7420,1440x2560,420;560,arm64-v8a;armeabi-v7a;armeabi,22;23;24,3.1;3.ﬁub;;
Samsung,Galaxy S6 Edge+,zenltechn,3662-3664MB,Phone,Samsung Exynos 7420,1440x2560,420;560,arm64-v8a;armeabi-v7a;armeabi,22;23;24,3.1;3.ﬁub;;
Samsung,Galaxy S6 Edge+,zenlteskt,3662-3663MB,Phone,Samsung Exynos 7420,1080x1920;1440x2560,420;560,arm64-v8a;armeabi-v7a;armeabi,22;23;24,3.1;3.ﬁub;
Samsung,Galaxy S6 Edge+,zenlteatt,3662-3663MB,Phone,Samsung Exynos 7420,1440x2560,420;560,arm64-v8a;armeabi-v7a;armeabi,22;23;24,3.1;3.ﬁub;;
Samsung,Galaxy S6 Edge+,zenltebmc,3663-3664MB,Phone,Samsung Exynos 7420,1440x2560,420;560,arm64-v8a;armeabi-v7a;armeabi,22;23;24,3.1;3.ﬁub;;
Samsung,Galaxy S6 Edge+,zenltelgt,3662-3663MB,Phone,Samsung Exynos 7420,1080x1920;1440x2560,420;560,arm64-v8a;armeabi-v7a;armeabi,22;23;24,3.1;3.ﬁub;
Samsung,Galaxy S6 Edge+,zenltespr,3662-3664MB,Phone,Samsung Exynos 7420,1440x2560,420;560,arm64-v8a;armeabi-v7a;armeabi,22;23;24,3.1;3.ﬁub;;
Samsung,Galaxy S6 Edge+,zenltektt,3662-3663MB,Phone,Samsung Exynos 7420,1080x1920;1440x2560,420;560,arm64-v8a;armeabi-v7a;armeabi,22;23;24,3.1;3.ﬁub;
Samsung,Galaxy S6 Edge+,zenlteusc,3662-3664MB,Phone,Samsung Exynos 7420,1440x2560,420;560,arm64-v8a;armeabi-v7a;armeabi,22;23;24,3.1;3.ﬁub;;
Samsung,GT-I9260,superiorchn,790MB,Phone,TI OMAP4470,720x1280,320,armeabi-v7a;armeabi,16,2.0;;;;;;;
Samsung,Nexus 10,manta,1098-1262MB,Tablet,Samsung Exynos 5250,1600x2560,320,armeabi-v7a;armeabi,17;18;19;21;22,2.0;3.0;3.Oca;
Samsung,Galaxy S Advance,GT-I9070P,624MB,Phone,ST Ericsson U8500,480x800,240,armeabi-v7a;armeabi,10;16,2.0;;;;;;
Samsung,Galaxy S Advance,GT-I9070,,Phone,ST Ericsson U8500,480x800,240,armeabi-v7a;armeabi,10;16,2.0;;;;;;
Samsung,Galaxy S2 Duos,SCH-i929,,Phone,Qualcomm MSM8660,400x800,240,armeabi-v7a;armeabi,10;15,2.0;;;;;;
Samsung,Galaxy J,hltejs01tw,2440-2802MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,18;19;21,3.0;;;;;
Samsung,Galaxy S4 LTE-A,ks01lteskt,1850-1860MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,17;18;19;21,2.0;3.0;;;
Samsung,GT-P7500R,GT-P7500R,,,NVidia T20,1280x752;1280x800,160,armeabi-v7a;armeabi,12;13;15,2.0;;;;
Samsung,Galaxy S7 Active,poseidonlteatt,3395-3421MB,Phone,Qualcomm MSM8996,1080x1920;1440x2560,480;640,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;
Samsung,Galaxy Tab 8.9,SHW-M305W,,Tablet,NVidia Tegra 2 AP20,1280x752,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Samsung,Galaxy Tab 8.9,SHV-E140S,,Tablet,Qualcomm APQ8060,1280x800,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Samsung,Galaxy Tab 8.9,SHV-E140L,,,Qualcomm MDM9200,1280x752,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Samsung,Galaxy Tab 8.9,GT-P7310,,,NVidia Tegra 2,752x1280,160,armeabi-v7a;armeabi,12;13;15,2.0;;;;;
Samsung,Galaxy Tab 8.9,SCH-P739,,,NVidia Tegra 2,1280x752,160,armeabi-v7a;armeabi,13,2.0;;;;;;;
Samsung,Galaxy Tab 8.9,SGH-I957M,,Tablet,Qualcomm APQ8060,1280x800,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Samsung,Galaxy Tab 8.9,SGH-I957R,,Tablet,Qualcomm APQ8060,1280x800,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Samsung,Galaxy Tab 8.9,GT-P7300,,Tablet,NVidia Tegra 2 AP25,800x1280,160,armeabi-v7a;armeabi,12;13;15,2.0;;;;;
Samsung,Galaxy Tab 8.9,SGH-I957,,Tablet,Qualcomm APQ8060,1280x800,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Samsung,Galaxy Tab 8.9,SGH-I957D,,Tablet,Qualcomm APQ8060,1280x800,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Samsung,Galaxy Tab 8.9,GT-P7320,,Tablet,Qualcomm APQ8060,800x1280,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Samsung,Galaxy Tab 8.9,SHV-E140K,,Tablet,Qualcomm APQ8060,1280x800,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Samsung,Galaxy Tab Pro 10.1 Chef Collection,picassowificc,1760MB,Tablet,Samsung Exynos 5420,2560x1600,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Samsung,Galaxy Jean,a6pltektt,2790MB,Phone,Qualcomm SDM450,1080x2009,420,armeabi-v7a;armeabi,26,3.2;;;;;;;
Samsung,Galaxy K Zoom,m2altelgt,,Phone,Samsung Exynos 5260,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Samsung,Galaxy K Zoom,m2alte,1887MB,Phone,Samsung Exynos 5260,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Samsung,Galaxy K Zoom,m2altecan,1887MB,Phone,Samsung Exynos 5260,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Samsung,Galaxy K Zoom,m2a3g,1887MB,Phone,Samsung Exynos 5260,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Samsung,Galaxy Pop,superiorlteskt,1792MB,Phone,Samsung Exynos 4412,720x1280,320,armeabi-v7a;armeabi,16;19,2.0;;;;;;
Samsung,SM-W2018,kellyltechn,5361MB,Phone,Qualcomm MSM8998,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Samsung,Galaxy NX,u0lte,1536MB,,Samsung Exynos 4412,1280x720,320,armeabi-v7a;armeabi,17,2.0;;;;;;;
Samsung,Galaxy NX,u0lteue,1536MB,,Samsung Exynos 4412,720x1280,320,armeabi-v7a;armeabi,17,2.0;;;;;;;
Samsung,Galaxy S2 Epic,SCH-R760,,,Samsung Exynos 4210,480x800,240,armeabi-v7a;armeabi,10;15,2.0;;;;;;
Samsung,Galaxy S2 Epic,SPH-D710,,Phone,Samsung Exynos 4210,800x480,240,armeabi-v7a;armeabi,10;15;16,2.0;;;;;
Samsung,Galaxy S2 Epic,SPH-D710BST,800MB,Phone,Samsung Exynos 4210,480x800,240,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Samsung,Galaxy S2 Epic,SPH-D710VMUB,800MB,Phone,Samsung Exynos 4210,480x800,240,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Samsung,Galaxy S3 Mini,goldenltebmc,848-861MB,Phone,Qualcomm MSM8930,480x800,240,armeabi-v7a;armeabi,17;19,2.0;3.0;;;;;
Samsung,Galaxy S3 Mini,golden,804MB,Phone,ST Ericsson U8420,480x800,240,armeabi-v7a;armeabi,16;17,2.0;;;;;;
Samsung,Galaxy S3 Mini,goldenlteatt,848-861MB,Phone,Qualcomm MSM8930,480x800,240,armeabi-v7a;armeabi,17;19,2.0;3.0;;;;;
Samsung,Galaxy S3 Mini,goldenltevzw,848-859MB,Phone,Qualcomm MSM8930,480x800,240,armeabi-v7a;armeabi,17;19,2.0;3.0;;;;;
Samsung,Galaxy Wide2,j7popelteskt,1804MB,Phone,Samsung Exynos 7870,720x1280,320,armeabi-v7a;armeabi,24,3.2;;;;;;;
Samsung,Galaxy Note3 Neo,hl3g,1711-1881MB,Phone,Samsung Exynos 5260,720x1280,320,armeabi-v7a;armeabi,18;19;22,3.0;;;;;
Samsung,Galaxy Note3 Neo,hllte,1711-1881MB,Phone,Samsung Exynos 5260,720x1280,320,armeabi-v7a;armeabi,18;19;22,3.0;;;;;
Samsung,Galaxy Note3 Neo,frescolteskt,1819-1821MB,Phone,Qualcomm MSM8974,720x1280,320,armeabi-v7a;armeabi,18;19;22,3.0;;;;;
Samsung,Galaxy Note3 Neo,frescoltektt,1819-1821MB,Phone,Qualcomm MSM8974,720x1280,320,armeabi-v7a;armeabi,18;19;22,3.0;;;;;
Samsung,Galaxy Note3 Neo,hl3gds,1886MB,Phone,Qualcomm MSM8228,720x1280,320,armeabi-v7a;armeabi,18,3.0;;;;;;;
Samsung,Galaxy Note3 Neo,frescoltelgt,1819-1821MB,Phone,Qualcomm MSM8974,720x1280,320,armeabi-v7a;armeabi,18;19;22,3.0;;;;;
Samsung,Galaxy J7 Max,j7maxlte,3741MB,Phone,Mediatek MT6757V,1080x1920,420,armeabi-v7a;armeabi,24,3.2;;;;;;;
Samsung,Galaxy J3 Pop,j3popltevzw,1346MB,Phone,Qualcomm MSM8917,1280x720,320,armeabi-v7a;armeabi,24,3.0;;;;;;;
Samsung,Galaxy J3 Pop,j3popltespr,1355MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Samsung,Galaxy J3 Pop,j3poplteusc,1346MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,24,3.0;;;;;;;
Samsung,Galaxy J3 Pop,j3popltelra,1346MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,24,3.0;;;;;;;
Samsung,Galaxy J3 Pop,j3popelteaio,1324MB,Phone,Samsung Exynos 7570,720x1280,320,armeabi-v7a;armeabi,24,3.1;;;;;;;
Samsung,Galaxy J3 Pop,j3popelteatt,1323MB,Phone,Samsung Exynos 7570,720x1280,320,armeabi-v7a;armeabi,24,3.1;;;;;;;
Samsung,Galaxy J3 Pop,j3popltetfnvzw,1355MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Samsung,Galaxy J3 Pop,j3popeltecan,1323MB,Phone,Samsung Exynos 7570,720x1280,320,armeabi-v7a;armeabi,24,3.1;;;;;;;
Samsung,Galaxy J3 Pop,j3popeltetfntmo,1323MB,Phone,Samsung Exynos 7570,720x1280,320,armeabi-v7a;armeabi,24,3.1;;;;;;;
Samsung,Galaxy J3 Pop,j3poplteacg,1346MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,24,3.0;;;;;;;
Samsung,Galaxy Feel,SC-04J,2809MB,Phone,Samsung Exynos 7870,720x1280,320,armeabi-v7a;armeabi,24,3.2;;;;;;;
Samsung,Galaxy A3(2017),a3y17lte,1817-1820MB,Phone,Samsung Exynos 7870,720x1280,320,armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;;;
Samsung,SCH-W2013,m0grandectc,,Phone,Samsung Exynos 4412,480x800,240,armeabi-v7a;armeabi,15,2.0;;;;;;;
Samsung,Galaxy Tap Pro 10.1,picassolte,1782MB,Tablet,Qualcomm MSM8974,2560x1600,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Samsung,Galaxy A6,a6lte,2812MB,Phone,Samsung Exynos 7870,720x1339,320,armeabi-v7a;armeabi,26,3.2;;;;;;;
Samsung,Galaxy A6,a6lteks,2812MB,Phone,Samsung Exynos 7870,720x1339,320,armeabi-v7a;armeabi,26,3.2;;;;;;;
Samsung,Galaxy J3 Achieve,j3topeltespr,1730MB,Phone,Samsung Exynos 7884A,720x1280,320,armeabi-v7a;armeabi,26,3.2;;;;;;;
Samsung,Galaxy S4 Active,jactivelte,1821-1824MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,17;19;21,2.0;3.0;;;;
Samsung,Galaxy S4 Active,jactivelteskt,1828-1841MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,17;19;21,2.0;3.0;;;;
Samsung,Galaxy S4 Active,jactivelteatt,1790-1824MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,17;18;19;21,2.0;3.0;;;
Samsung,Galaxy A9 Star Lite,a6pltechn,3542MB,Phone,Qualcomm SDM450,1080x2009,420,armeabi-v7a;armeabi,26,3.2;;;;;;;
Samsung,Galaxy A9 Star Lite,a6pltecmcc,3542MB,Phone,Qualcomm SDM450,1080x2009,420,armeabi-v7a;armeabi,26,3.2;;;;;;;
Samsung,Galaxy S3 Mini Value Edition,goldenve3g,851MB,Phone,Marvell PXA986,480x800,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Samsung,Galaxy S3 Mini Value Edition,goldenvess3g,851MB,Phone,Marvell PXA986,480x800,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Samsung,Galaxy S5 Active,kactiveltekx,997MB,Phone,Qualcomm MSM8974AC,1080x1920,480,armeabi-v7a;armeabi,22,3.0;;;;;;;
Samsung,Galaxy S5 Active,kltecanactive,1705-1706MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
Samsung,Galaxy S5 Active,SC-02G,1703-1855MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,19;21;23,3.0;;;;;
Samsung,Galaxy S5 Active,klteattactive,1704-1856MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,19;21;22;23,3.0;;;;
Samsung,Galaxy S5 Active,klteactive,1705-1706MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,19;21,3.0;;;;;;
Samsung,Galaxy J3 Top,j3toplteaio,1836MB,Phone,Samsung Exynos 7570,720x1280,320,armeabi-v7a;armeabi,26,3.1;;;;;;;
Samsung,Galaxy J3 Top,j3toplteatt,1836MB,Phone,Samsung Exynos 7570,720x1280,320,armeabi-v7a;armeabi,26,3.1;;;;;;;
Samsung,Galaxy J7 Pro,j7y17lte,2816MB,Phone,Samsung Exynos 7870,1080x1920,420,armeabi-v7a;armeabi,24,3.2;;;;;;;
Samsung,Galaxy A6+,a6plte,3550MB,Phone,Qualcomm SDM450,1080x2009,420,armeabi-v7a;armeabi,26,3.2;;;;;;;
Samsung,Galaxy J7 Pop,j7poplteusc,1803MB,Phone,Qualcomm MSM8953,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Samsung,Galaxy J7 Pop,j7popelteue,1805MB,Phone,Samsung Exynos 7870,720x1280,320,armeabi-v7a;armeabi,24,3.2;;;;;;;
Samsung,Galaxy J7 Pop,j7popltevzw,1803MB,Phone,Qualcomm MSM8953,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Samsung,Galaxy J7 Pop,j7popelteatt,1805MB,Phone,Samsung Exynos 7870,720x1280,320,armeabi-v7a;armeabi,24,3.2;;;;;;;
Samsung,Galaxy J7 Pop,j7popelteaio,1805MB,Phone,Samsung Exynos 7870,720x1280,320,armeabi-v7a;armeabi,24,3.2;;;;;;;
Samsung,Galaxy J7 Pop,j7popqltetfnvzw,1863MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Samsung,Galaxy J7 Pop,j7popeltetfntmo,1805MB,Phone,Samsung Exynos 7870,720x1280,320,armeabi-v7a;armeabi,24,3.2;;;;;;;
Samsung,Galaxy J7 Pop,j7popltespr,1803MB,Phone,Qualcomm MSM8953,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Samsung,Galaxy S8+,SCV35,3357-3363MB,Phone,Qualcomm MSM8998,1080x2009;1080x2220,420,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2;;;;
Samsung,Galaxy S8+,dream2lte,3458-3459MB,Phone,Samsung Exynos 8895,1080x2009;1080x2220,420,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2;;;;
Samsung,Galaxy S8+,dream2qltecan,3358-3372MB,Phone,Qualcomm MSM8998,1080x2009;1080x2220,420,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2;;;;
Samsung,Galaxy S8+,dream2qlteue,3359-3365MB,Phone,Qualcomm MSM8998,1080x2009;1080x2220,420,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2;;;;
Samsung,Galaxy S8+,dream2lteks,3458-3459MB,Phone,Samsung Exynos 8895,1080x2009;1080x2220,420,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2;;;;
Samsung,Galaxy S8+,dream2qltechn,3358-3687MB,Phone,Qualcomm MSM8998,1080x2009;1080x2220,420,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2;;;;
Samsung,Galaxy S8+,dream2qltesq,956-3358MB,Phone,Qualcomm MSM8998,1080x2009;1080x2220,420,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2;;;;
Samsung,Galaxy S8+,SC-03J,3357-3362MB,Phone,Qualcomm MSM8998,1080x2009;1080x2220,420,arm64-v8a;armeabi-v7a;armeabi,24;26,3.2;;;;
Samsung,Galaxy S8+,dream2lteskt,5469MB,Phone,Samsung Exynos 8895,1080x2220,420,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Samsung,Galaxy J3 Star,j3topltetmo,1836MB,Phone,Samsung Exynos 7570,720x1280,320,armeabi-v7a;armeabi,26,3.1;;;;;;;
Samsung,Galaxy S5 Mini,kminilte,1258MB,Phone,Samsung Exynos 3470,720x1280,320,armeabi-v7a;armeabi,19;22;23,2.0;;;;;
Samsung,Galaxy S5 mini,kminiwifi,1258MB,Phone,Samsung Exynos 3470,720x1280,320,armeabi-v7a;armeabi,19,2.0;;;;;;;
Samsung,Galaxy S5 Mini,kminilteusc,1350MB,Phone,Qualcomm MSM8928,720x1280,320,armeabi-v7a;armeabi,19;22,3.0;;;;;;
Samsung,Galaxy S5 mini,kminilteatt,1350MB,Phone,Qualcomm MSM8928,720x1280,320,armeabi-v7a;armeabi,19;22,3.0;;;;;;
Samsung,Galaxy S5 Mini,kmini3g,1383-1387MB,Phone,Qualcomm MSM8228,720x1280,320,armeabi-v7a;armeabi,19;22;23,3.0;;;;;
Samsung,Galaxy S2 HD LTE,SHV-E120K,783MB,Phone,Qualcomm APQ8060,720x1280,320,armeabi-v7a;armeabi,10;15;16,2.0;;;;;
Samsung,Galaxy S2 HD LTE,SHV-E120S,784MB,Phone,Qualcomm APQ8060,720x1280,320,armeabi-v7a;armeabi,10;15;16,2.0;;;;;
Samsung,Galaxy S2 HD LTE,SHV-E120L,784MB,Phone,Qualcomm MSM8660,1280x720,320,armeabi-v7a;armeabi,10;15;16,2.0;;;;;
Samsung,Galaxy S2 HD LTE,SGH-I757M,736MB,Phone,Qualcomm MSM8660,720x1280,320,armeabi-v7a;armeabi,10;15;16,2.0;;;;;
Samsung,Galaxy Tab Pro 10.1,picassowifi,1760MB,Tablet,Samsung Exynos 5420,2560x1600,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Samsung,Galaxy Tab 7.7,SCH-I815,,,Samsung Exynos 4210,1280x752;800x1232,160,armeabi-v7a;armeabi,13;15,2.0;;;;;
Samsung,Galaxy Tab 7.7,GT-P6810,,Tablet,Samsung Exynos 4210,800x1280,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Samsung,Galaxy Tab 7.7,GT-P6800,807MB,Tablet,Samsung Exynos 4210,800x1280,160,armeabi-v7a;armeabi,13;15;16,2.0;;;;;
Samsung,SM-G9198,philippeltechn,1823MB,Phone,Qualcomm MSM8992,768x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.1;;;;;;
